Company,Location,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Year,Month,Day,latitude,longitude,Success,RocketFamily
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-11-23,00:23:00,Space Shuttle Discovery,STS-33R,Retired,Success,1989,11,23,28.627,-80.621,1.0,Space
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",1989-11-23,20:35:00,Molniya-M /Block 2BL,Kosmos 2050,Retired,Success,1989,11,23,62.92,40.58,1.0,Molniya-m
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1989-11-24,23:22:00,Tsyklon-2,Kosmos 2051,Retired,Success,1989,11,24,46.07,62.99,1.0,Tsyklon-2
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1989-11-28,10:01:00,Molniya-M /Block ML,Molniya-3 nâ Â­140,Retired,Success,1989,11,28,62.931,40.577,1.0,Molniya-m
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1989-12-11,18:10:00,Delta II 6925,NAVSTAR II-5,Retired,Success,1989,12,11,28.448,-80.565,1.0,Delta
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1989-12-27,Unknown,Tsyklon-3,Kosmos 2053,Retired,Success,1989,12,27,62.92,40.58,1.0,Tsyklon-3
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-01-01,00:07:00,Commercial Titan III,Skynet 4A & JCSAT-2,Retired,Success,1990,1,1,28.562,-80.577,1.0,Titan
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-01-09,12:35:00,Space Shuttle Columbia,STS-32,Retired,Success,1990,1,9,28.608,-80.604,1.0,Space
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1990-01-18,12:52:00,Cosmos-3M (11K65M),Kosmos 2056,Retired,Success,1990,1,18,62.929,40.577,1.0,Cosmos-3m
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-01-22,01:35:00,Ariane 40,"SPOT-2, Oscar 14-19",Retired,Success,1990,1,22,5.25,-52.775,1.0,Ariane
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1990-01-23,02:51:00,Molniya-M /Block ML,Molniya-3 nâ Â­141,Retired,Success,1990,1,23,62.931,40.577,1.0,Molniya-m
ISAS,"Mu Pad, Uchinoura Space Center, Japan",1990-01-24,11:46:00,Mu-III S2,Hiten,Retired,Success,1990,1,24,31.25,131.08,1.0,Mu-iii
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1990-01-24,22:55:00,Delta II 6925,USA-50 (GPS II-6),Retired,Success,1990,1,24,28.448,-80.566,1.0,Delta
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1990-01-30,11:20:00,Tsyklon-3,Kosmos 2058,Retired,Success,1990,1,30,62.92,40.58,1.0,Tsyklon-3
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1990-01-30,21:56:00,Delta II 6925,USA-64 (GPS II-9),Retired,Success,1990,1,30,28.448,-80.566,1.0,Delta
CASC,"LC-3, Xichang Satellite Launch Center, China",1990-02-04,12:28:00,Long March 3,DFH-2A-T4,Retired,Success,1990,2,4,28.24,102.01,1.0,Long March
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1990-02-06,Unknown,Cosmos-3M (11K65M),Kosmos 2059,Retired,Success,1990,2,6,62.93,40.57,1.0,Cosmos-3m
MHI,"LA-Y1, Tanegashima Space Center, Japan",1990-02-07,01:33:00,H-I (9 SO),"Orizuru, Fuji 1b & Momo-1b",Retired,Success,1990,2,7,30.39,130.97,1.0,H-II
MHI,"SLC-N, Tanegashima Space Center, Japan",1990-02-07,01:33:00,H-I (9 SO),MOS-1B / Oscar 20 / DEBUT,Retired,Success,1990,2,7,30.4,130.98,1.0,H-II
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1990-02-14,16:15:00,Delta II 6920-8,LACE / RME,Retired,Success,1990,2,14,28.448,-80.565,1.0,Delta
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-02-22,23:17:00,Ariane 44L,"Superbird-B, BS-2X",Retired,Failure,1990,2,22,5.25,-52.775,0.0,Ariane
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1990-02-27,20:59:00,Cosmos-3M (11K65M),Nadiezhda nâ Â­5,Retired,Success,1990,2,27,62.93,40.57,1.0,Cosmos-3m
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1990-02-28,00:55:00,Tsyklon-3,Okean 2,Retired,Success,1990,2,28,62.92,40.58,1.0,Tsyklon-3
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-02-28,07:50:00,Space Shuttle Atlantis,STS-36,Retired,Success,1990,2,28,28.608,-80.604,1.0,Space
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-03-14,11:52:00,Commercial Titan III,Intelsat 603,Retired,Failure,1990,3,14,28.562,-80.577,0.0,Titan
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1990-03-14,15:27:00,Tsyklon-2,Kosmos 2060,Retired,Success,1990,3,14,46.07,62.99,1.0,Tsyklon-2
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1990-03-20,00:25:00,Cosmos-3M (11K65M),Kosmos 2061,Retired,Success,1990,3,20,62.929,40.577,1.0,Cosmos-3m
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1990-03-26,02:45:00,Delta II 6925,USA-54 (GPS II-7),Retired,Success,1990,3,26,28.448,-80.566,1.0,Delta
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1990-03-27,16:40:00,Molniya-M /Block 2BL,Kosmos 2063,Retired,Success,1990,3,27,62.931,40.577,1.0,Molniya-m
IAI,"Pad 1, Palmachim Airbase, Israel",1990-04-03,Unknown,Shavit,Ofek-2,Retired,Success,1990,4,3,31.89,34.68,1.0,Shavit
Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1990-04-05,19:10:00,Pegasus,Pegsat & NavySat,Retired,Success,1990,4,5,34.9,-117.92,1.0,Pegasus
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1990-04-06,03:12:00,Cosmos-3M (11K65M),Kosmos 2064 to 2071,Retired,Success,1990,4,6,62.929,40.577,1.0,Cosmos-3m
CASC,"LC-3, Xichang Satellite Launch Center, China",1990-04-07,13:30:00,Long March 3,AsiaSat 1,Retired,Success,1990,4,7,28.24,102.01,1.0,Long March
Lockheed,"SLC-3W, Vandenberg AFB, California, USA",1990-04-11,15:00:00,Atlas-E/F Altair,USA-56/57/58,Retired,Success,1990,4,11,34.767,-120.59,1.0,Atlas
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1990-04-13,22:28:00,Delta II 6925-8,Palapa B2R,Retired,Success,1990,4,13,28.448,-80.565,1.0,Delta
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1990-04-20,18:41:00,Cosmos-3M (11K65M),Kosmos 2074,Retired,Success,1990,4,20,62.929,40.577,1.0,Cosmos-3m
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-04-24,12:33:00,Space Shuttle Discovery,STS-31,Retired,Success,1990,4,24,28.627,-80.621,1.0,Space
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1990-04-25,13:00:00,Cosmos-3M (11K65M),Kosmos 2075,Retired,Success,1990,4,25,62.93,40.57,1.0,Cosmos-3m
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1990-04-26,01:37:00,Molniya-M /Block ML,Molniya-1 nâ Â­142,Retired,Success,1990,4,26,62.931,40.577,1.0,Molniya-m
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",1990-04-28,11:37:00,Molniya-M /Block 2BL,Kosmos 2076,Retired,Success,1990,4,28,62.92,40.58,1.0,Molniya-m
RVSN USSR,"Site 45/2, Baikonur Cosmodrome, Kazakhstan",1990-05-22,05:14:00,Zenit-2,Kosmos 2082,Retired,Success,1990,5,22,45.92,63.34,1.0,Zenit
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1990-06-01,21:48:00,Delta II 6920-10,ROSAT,Retired,Success,1990,6,1,28.448,-80.566,1.0,Delta
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1990-06-08,05:22:00,Titan IV(405)A,SLDCOM & NOSS 3x,Retired,Success,1990,6,8,28.583,-80.577,1.0,Titan
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1990-06-12,05:52:00,Delta 4925-8,INSAT 1D,Retired,Success,1990,6,12,28.448,-80.565,1.0,Delta
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1990-06-13,01:07:00,Molniya-M /Block ML,Molniya-3 nâ Â­143,Retired,Success,1990,6,13,62.931,40.577,1.0,Molniya-m
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1990-06-21,20:45:00,Molniya-M /Block 2BL,Kosmos 2084,Retired,Partial Failure,1990,6,21,62.931,40.577,0.5,Molniya-m
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-06-23,11:19:00,Commercial Titan III,Intelsat 604,Retired,Success,1990,6,23,28.562,-80.577,1.0,Titan
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1990-06-25,22:29:00,Tsyklon-3,Meteor-2 nâ Â­19,Retired,Success,1990,6,25,62.92,40.58,1.0,Tsyklon-3
CASC,"LC-2, Xichang Satellite Launch Center, China",1990-07-16,00:40:00,Long March 2E,"Optus-B, Badr-1, mass simulator",Retired,Success,1990,7,16,28.24,102.01,1.0,Long March
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-07-24,22:25:00,Ariane 44L,"TDF-2, DFS-2",Retired,Success,1990,7,24,5.25,-52.775,1.0,Ariane
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",1990-07-25,18:13:00,Molniya-M /Block 2BL,Kosmos 2087,Retired,Success,1990,7,25,62.92,40.58,1.0,Molniya-m
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1990-07-25,19:21:00,Atlas I,CRRES,Retired,Success,1990,7,25,28.449,-80.545,1.0,Atlas
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1990-07-30,00:06:00,Tsyklon-3,Kosmos 2088,Retired,Success,1990,7,30,62.92,40.58,1.0,Tsyklon-3
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1990-08-08,14:15:00,Tsyklon-3,Kosmos 2090 to 2095,Retired,Success,1990,8,8,62.92,40.58,1.0,Tsyklon-3
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1990-08-10,20:18:00,Molniya-M /Block ML,Molniya-1 nâ Â­144,Retired,Success,1990,8,10,62.931,40.577,1.0,Molniya-m
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1990-08-23,16:17:00,Tsyklon-2,Kosmos 2096,Retired,Success,1990,8,23,46.07,62.99,1.0,Tsyklon-2
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1990-08-28,07:46:00,Molniya-M /Block 2BL,Kosmos 2097,Retired,Success,1990,8,28,62.931,40.577,1.0,Molniya-m
